"gender","decision"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","promoted"
"male","not_promoted"
"male","not_promoted"
"male","not_promoted"
"female","promoted"
"female","promoted"
"female","promoted"
"female","promoted"
"female","promoted"
"female","promoted"
"female","promoted"
"female","promoted"
"female","promoted"
"female","promoted"
"female","promoted"
"female","promoted"
"female","promoted"
"female","promoted"
"female","not_promoted"
"female","not_promoted"
"female","not_promoted"
"female","not_promoted"
"female","not_promoted"
"female","not_promoted"
"female","not_promoted"
"female","not_promoted"
"female","not_promoted"
"female","not_promoted"
