"values","group"
11.4971736950721,"group1"
9.09519537069946,"group1"
10.1093351676386,"group1"
9.93767164196425,"group1"
9.70170794686258,"group1"
9.52700022046312,"group1"
8.66793853547493,"group1"
10.0654399562224,"group1"
9.08970460281953,"group1"
9.49077398156157,"group1"
10.2805229337243,"group1"
10.2324301505655,"group1"
11.5153618239167,"group1"
9.05603610779861,"group1"
10.4507130255462,"group1"
10.6972226852252,"group1"
9.56186004930289,"group1"
9.49041552061136,"group1"
10.0206118420061,"group1"
8.23816172375448,"group1"
10.3901276973241,"group1"
8.29328391459071,"group1"
9.22925612286607,"group1"
11.0944497292419,"group1"
9.61073059563388,"group1"
9.71387471070583,"group1"
10.250002080983,"group1"
9.57746013715405,"group1"
9.92941162304416,"group1"
9.51968382004605,"group1"
9.32740530443513,"group1"
10.6284904634268,"group1"
9.47457279249426,"group1"
9.64952701005529,"group1"
9.19763669226028,"group1"
10.5121322719788,"group1"
10.0873436668017,"group1"
10.6101162851498,"group1"
9.24931788881993,"group1"
8.98793136316299,"group1"
10.9661989823187,"group1"
9.26106609461993,"group1"
10.0927046079891,"group1"
8.82057169425405,"group1"
10.0553691070025,"group1"
9.66927472241352,"group1"
10.0169448254662,"group1"
9.81811718440224,"group1"
11.9119574543085,"group1"
11.5173203940819,"group1"
10.4688936383059,"group1"
12.188763184147,"group1"
10.7411730510945,"group1"
10.0143079218725,"group1"
10.5872370681828,"group1"
9.9091772917087,"group1"
7.93026984112398,"group1"
9.03276082577334,"group1"
9.92929341144563,"group1"
10.2931325089802,"group1"
12.0337851308346,"group1"
8.85189971291393,"group1"
8.01068547175716,"group1"
10.9109194069154,"group1"
10.1501940170463,"group1"
8.64345379468055,"group1"
11.1434603098844,"group1"
11.9655388904197,"group1"
10.8451394272334,"group1"
11.6464867630107,"group1"
9.71162156488917,"group1"
11.7805274857795,"group1"
10.5116483414186,"group1"
11.275412286178,"group1"
9.48287619923683,"group1"
9.94725804639571,"group1"
8.7351659131597,"group1"
10.2966567411152,"group1"
