mean,group
9.93,n=20
9.50666666666667,n=20
16.43,n=20
14.5766666666667,n=20
13.0266666666667,n=20
13.6633333333333,n=20
11.2833333333333,n=20
10.9166666666667,n=20
9.09333333333333,n=20
11.83,n=20
17.2066666666667,n=20
11.4333333333333,n=20
13.1966666666667,n=20
13.9466666666667,n=20
13.7466666666667,n=20
7.31666666666667,n=20
10.86,n=20
9.54333333333333,n=20
13.3666666666667,n=20
16.4866666666667,n=20
12.61,n=20
8.18666666666667,n=20
15.3533333333333,n=20
9.22333333333333,n=20
12.62,n=20
11.41,n=20
10.6533333333333,n=20
10.1066666666667,n=20
12.7366666666667,n=20
8.66,n=20
8.95666666666667,n=20
19.3,n=20
9.91,n=20
12.9433333333333,n=20
8.45333333333333,n=20
13.9433333333333,n=20
10.7233333333333,n=20
10.23,n=20
12.9066666666667,n=20
11.4633333333333,n=20
10.9866666666667,n=20
7.55,n=20
13.08,n=20
10.0666666666667,n=20
13.64,n=20
12.14,n=20
6.99333333333333,n=20
11.43,n=20
15.2833333333333,n=20
6.87666666666667,n=20
11.9966666666667,n=20
10.5566666666667,n=20
8.61,n=20
7.76333333333333,n=20
9.78,n=20
12.97,n=20
5.28,n=20
8.38666666666667,n=20
18.2166666666667,n=20
10.6533333333333,n=20
11.51,n=20
17.92,n=20
8.17666666666667,n=20
6.30666666666667,n=20
7.86333333333333,n=20
10.3366666666667,n=20
7.75666666666667,n=20
11.6666666666667,n=20
6.68666666666667,n=20
5.07,n=20
11.1266666666667,n=20
11.38,n=20
8.64666666666667,n=20
9.58666666666667,n=20
6.09666666666667,n=20
9.60666666666667,n=20
12.2733333333333,n=20
7.84,n=20
8.94333333333333,n=20
14.6666666666667,n=20
19.59,n=20
10.883333333333301,n=20
13.26,n=20
14.2233333333333,n=20
11.02,n=20
12.3433333333333,n=20
13.23,n=20
9.86666666666667,n=20
7.06,n=20
9.86333333333333,n=20
11.8466666666667,n=20
10.3566666666667,n=20
13.9533333333333,n=20
9.33333333333333,n=20
9.76,n=20
10.7133333333333,n=20
12.3133333333333,n=20
12.4466666666667,n=20
7.8,n=20
12.6766666666667,n=20
15.59,n=20
13.3033333333333,n=20
10.5266666666667,n=20
10.33,n=20
9.93666666666667,n=20
10.19,n=20
7.36333333333333,n=20
7.09333333333333,n=20
