"mean","max","group"
16.0586622229389,48.3314733653964,"n=30"
20.9445235402299,69.8841262939286,"n=30"
18.6080246548233,95.3101620772734,"n=30"
21.4808395763096,93.1344590285673,"n=30"
20.094263802214,75.800621915133,"n=30"
28.737671260935,101.294991795756,"n=30"
22.948385417261,82.8474624040437,"n=30"
24.9541054458078,107.371840572361,"n=30"
23.0553684331681,87.7662376263991,"n=30"
19.2840233437368,68.0860792066822,"n=30"
21.2837914059535,100.814929933925,"n=30"
15.3760277170337,64.8290310766468,"n=30"
26.7024797565556,71.5299941184831,"n=30"
25.0004020268798,148.207130051198,"n=30"
26.2127468871311,79.6263624313188,"n=30"
16.742775884812,71.4612851622415,"n=30"
24.3429288583413,73.5069350483728,"n=30"
15.0665176356165,58.7435951228454,"n=30"
17.7252006093565,42.2530448039003,"n=30"
18.8417907342921,68.0212685432205,"n=30"
16.3379746984735,58.9035934176216,"n=30"
19.0480088585365,72.6565824034524,"n=30"
22.5873202837397,96.8564347127333,"n=30"
19.8817823772182,62.3181426491509,"n=30"
21.5923802257161,109.240889282604,"n=30"
15.6407448524653,112.835333042576,"n=30"
18.5897176369172,56.1281922082416,"n=30"
23.1003015187227,154.501691222254,"n=30"
21.395685305671,78.6082075978701,"n=30"
13.8691994000251,54.1953442593045,"n=30"
27.44508926252,103.322094412227,"n=30"
21.9733352844362,78.6241252305818,"n=30"
19.0779815868031,145.030212021413,"n=30"
14.470888455323,39.6504487452989,"n=30"
23.692123522445,110.558956594844,"n=30"
15.3897645455955,91.8787894347563,"n=30"
15.9219799418915,79.7659460785699,"n=30"
20.6126309045342,82.5548417451692,"n=30"
24.8620516406266,83.4645978310957,"n=30"
22.5589191882239,88.6858991131273,"n=30"
20.0165426860571,59.27045315168,"n=30"
22.6477828094247,103.874559135814,"n=30"
20.7769680744168,55.6658945944081,"n=30"
17.0062621760753,87.7695248225584,"n=30"
18.2162898171815,51.0973678131528,"n=30"
27.9117530104422,74.8080029946176,"n=30"
17.7705414924623,87.8765678471179,"n=30"
18.9503408916429,131.179109896118,"n=30"
20.1299232518059,63.3057400550614,"n=30"
20.9292993191908,90.7580164769545,"n=30"
27.6397274719035,90.161440739955,"n=30"
19.3242862502245,103.126830788036,"n=30"
17.6463814577339,69.4645826103997,"n=30"
17.4477222910746,47.9817957033343,"n=30"
14.5403087846833,83.7271231853239,"n=30"
19.8322518245628,61.4900915291081,"n=30"
18.1631898590027,58.8316307928333,"n=30"
23.8365170299601,81.2440047743631,"n=30"
25.6352254520927,92.7987379174982,"n=30"
24.8713166645134,133.461413040646,"n=30"
19.4196332090645,122.755106821667,"n=30"
12.510550870868,57.6062677767048,"n=30"
29.2664370587265,107.753268723495,"n=30"
19.4004354019812,51.3569745023675,"n=30"
18.124922677847,68.2803879644642,"n=30"
21.3128429337569,107.143417330165,"n=30"
14.1261684003681,45.3469515194125,"n=30"
20.7827743709945,61.3698979865474,"n=30"
14.4807092171664,60.3678885068665,"n=30"
21.707619144933,95.9022698501005,"n=30"
24.9574756904568,163.416242180463,"n=30"
16.1534989675565,69.1719518568287,"n=30"
11.7387706003556,42.1795902945131,"n=30"
16.7909078762871,55.6035137841527,"n=30"
16.1160581006836,59.2017276551495,"n=30"
22.4019692434578,121.226138763859,"n=30"
23.6067380757335,120.113174610569,"n=30"
18.2558857238568,68.3744828369389,"n=30"
17.7965685816916,57.6867879750932,"n=30"
19.5700599860165,69.3316103103471,"n=30"
17.1614201051713,47.7344901462026,"n=30"
19.675498751931,92.7318523028746,"n=30"
12.4207424556202,40.3904389573221,"n=30"
15.2931838605913,59.8766975471827,"n=30"
18.3690058032875,63.4578618373642,"n=30"
20.0529104735378,57.8203640844593,"n=30"
16.0318741019475,84.0992822822977,"n=30"
21.2976308711587,67.6005335118542,"n=30"
23.5692490942398,76.5287427469013,"n=30"
19.7641225443404,68.2708965208302,"n=30"
15.9691620647116,62.6482535506928,"n=30"
15.2351505413445,75.6481442931009,"n=30"
23.3865471773677,76.3872058275056,"n=30"
