"response","gender","race","edu","income_bracket"
13.2155772671417,"f","white","college","50_75"
10.9481668992626,"m","white","HS","above_75"
3.24010176360989,"f","black","HS","above_75"
4.97409185443122,"f","white","less_than_HS","above_75"
12.7772043190278,"f","white","HS","above_75"
11.3340184433444,"f","white","HS","less_25"
11.5662246491848,"f","white","HS","50_75"
7.75779652933728,"f","black","HS","25_50"
16.1412532647481,"m","white","HS","25_50"
13.2471333276444,"m","white","less_than_HS","above_75"
7.26537566486885,"f","hispanic","HS","25_50"
12.4519016618107,"f","white","HS","less_25"
9.05984637564874,"m","black","HS","50_75"
8.92615184096445,"m","white","college","less_25"
10.2656785352286,"m","black","HS","above_75"
12.3950696801604,"m","black","HS","50_75"
8.40951367595956,"f","white","less_than_HS","50_75"
8.30241271846855,"m","white","HS","25_50"
8.56330753429506,"f","white","HS","50_75"
12.0877475645956,"m","white","less_than_HS","50_75"
4.78717361302437,"f","black","college","50_75"
16.216069976422,"f","white","HS","25_50"
10.203346837489,"f","white","less_than_HS","50_75"
13.0991399735898,"f","black","college","above_75"
10.7345849303867,"m","black","college","50_75"
7.44905492819187,"m","white","HS","above_75"
6.10072913668434,"m","white","HS","above_75"
12.4717618560054,"f","white","HS","50_75"
13.1479848974746,"f","black","college","25_50"
12.2288945917533,"f","white","HS","50_75"
6.33554574636928,"m","white","HS","50_75"
12.9960706129158,"m","white","college","50_75"
15.1597448385571,"m","white","HS","above_75"
9.15820483541656,"m","white","HS","above_75"
10.1793572662787,"f","black","college","50_75"
12.1253200083786,"m","white","college","less_25"
8.90793215180494,"f","white","HS","less_25"
9.27678552049482,"m","white","college","less_25"
12.0523371066046,"m","white","HS","50_75"
7.77675357268204,"m","white","college","less_25"
8.25348024297458,"m","white","less_than_HS","50_75"
11.9843847822159,"f","white","HS","50_75"
9.28885157668178,"f","white","HS","50_75"
7.86580969976135,"f","hispanic","HS","25_50"
1.47832098920079,"m","black","HS","above_75"
10.1808909904621,"f","white","HS","above_75"
7.18278846389334,"m","white","HS","25_50"
12.1706319634844,"f","white","college","50_75"
10.0314652360556,"m","black","HS","50_75"
7.98106931760093,"f","white","college","25_50"
4.7375111202374,"m","white","HS","50_75"
13.6955978841605,"m","black","HS","25_50"
11.050068540929,"m","white","less_than_HS","25_50"
8.05494113869806,"m","white","HS","above_75"
12.1479697867344,"m","white","HS","50_75"
13.1748910050875,"f","white","HS","50_75"
7.22663189880969,"m","white","college","50_75"
8.57208004947635,"f","white","HS","above_75"
8.16129699379202,"m","white","less_than_HS","25_50"
4.38539428593232,"m","white","college","50_75"
9.3196736980767,"f","white","HS","50_75"
7.60058289554635,"f","black","HS","25_50"
6.22028539096823,"f","white","HS","50_75"
6.05765467240072,"m","white","HS","above_75"
7.14129621145527,"f","white","less_than_HS","50_75"
9.1760994662948,"f","white","HS","25_50"
6.72248417514839,"m","white","college","25_50"
12.2629033786234,"f","black","HS","50_75"
12.3284023552236,"m","white","HS","25_50"
15.2052232186984,"m","white","college","50_75"
14.9594347847125,"f","white","HS","25_50"
5.65771018133144,"m","white","less_than_HS","50_75"
11.1303915097998,"f","white","college","above_75"
8.73301949816352,"m","white","HS","50_75"
11.4957355059537,"m","white","HS","50_75"
10.4983398602433,"m","white","HS","25_50"
7.88910463541371,"f","black","college","50_75"
15.1587944970522,"m","hispanic","HS","25_50"
10.8514986986631,"m","hispanic","college","above_75"
6.54845101146013,"m","white","less_than_HS","25_50"
9.30786414513579,"f","black","HS","50_75"
11.1814517959704,"f","white","HS","above_75"
10.42456060225,"m","white","college","50_75"
2.80683147741807,"f","white","HS","less_25"
5.3790742426655,"f","white","HS","less_25"
10.4036036812537,"f","white","HS","50_75"
10.2659930988231,"m","white","college","25_50"
8.55053258741927,"f","white","HS","above_75"
13.6013852965058,"m","white","college","25_50"
9.15481095045063,"m","white","HS","25_50"
7.01497763424127,"f","white","HS","25_50"
7.30348088594397,"f","white","HS","50_75"
5.35818732810309,"f","black","HS","less_25"
10.6292618332013,"m","white","college","50_75"
13.3173849679534,"f","white","less_than_HS","above_75"
6.99591802048955,"f","white","college","25_50"
8.63788357945898,"m","white","college","25_50"
11.1025328930289,"m","white","HS","50_75"
8.10653043315553,"f","white","HS","50_75"
9.39243041275462,"m","white","HS","25_50"
10.757758217006,"f","white","HS","less_25"
14.3226007427154,"m","white","HS","less_25"
8.94436571946852,"f","hispanic","HS","25_50"
13.3650802928424,"f","black","less_than_HS","25_50"
4.84775280004673,"m","white","college","50_75"
9.61425047643894,"m","black","HS","50_75"
7.43703500742917,"f","hispanic","less_than_HS","above_75"
16.0788978699497,"m","white","college","less_25"
10.0261982400557,"f","white","HS","25_50"
7.90663016735929,"m","white","HS","50_75"
8.18393906482682,"f","white","college","50_75"
6.62505422976586,"f","black","less_than_HS","50_75"
11.0448881645027,"m","white","HS","50_75"
6.91046773138454,"m","white","HS","50_75"
5.83188821036254,"m","white","HS","25_50"
10.4428844098332,"f","white","HS","less_25"
6.42264904246282,"m","hispanic","HS","25_50"
10.1888911583111,"m","white","HS","above_75"
12.0597309302541,"f","black","college","25_50"
10.6145816582911,"f","white","HS","50_75"
9.50482467650519,"f","white","less_than_HS","25_50"
14.9323041118155,"m","white","college","25_50"
12.394555410463,"f","white","college","25_50"
9.73097167430694,"f","white","HS","25_50"
13.6748619403994,"m","white","HS","above_75"
11.5530464664345,"f","white","HS","25_50"
11.0529809849582,"f","white","college","less_25"
9.94525524348683,"m","black","HS","50_75"
15.5256042188476,"m","hispanic","HS","25_50"
10.6179576926678,"f","white","HS","above_75"
9.39863714825686,"m","hispanic","college","25_50"
7.8784324692871,"m","white","HS","50_75"
12.6683471400558,"m","white","HS","50_75"
13.5266933277154,"f","white","HS","above_75"
15.8395237199878,"m","white","HS","50_75"
8.96949440815284,"f","white","HS","50_75"
10.5868358742498,"f","white","HS","25_50"
10.3286400665425,"m","white","college","25_50"
15.1581380267254,"m","white","HS","25_50"
8.46063289401853,"m","white","college","less_25"
11.4540306154059,"m","white","HS","above_75"
11.1189829099209,"f","white","HS","50_75"
12.0972939652526,"f","white","college","above_75"
9.91476078621633,"f","black","HS","less_25"
6.09487083166289,"m","white","HS","50_75"
13.4581572265929,"m","white","college","50_75"
11.3162301377027,"m","white","HS","above_75"
10.1963561283233,"f","white","HS","25_50"
8.53070864276857,"f","white","college","above_75"
10.3071224672216,"m","black","college","50_75"
12.3252790236058,"f","white","HS","50_75"
15.561951189921,"f","white","HS","less_25"
9.05241306200208,"f","white","HS","50_75"
5.37280623461091,"m","white","less_than_HS","25_50"
8.30477298328283,"m","white","college","25_50"
7.6091487598972,"f","white","college","25_50"
10.6389349967785,"f","white","college","50_75"
10.4794695042239,"m","white","less_than_HS","25_50"
8.714542651782,"m","black","college","50_75"
2.35536966016574,"f","white","less_than_HS","25_50"
9.18773858948193,"f","white","HS","25_50"
5.4953864777523,"m","white","HS","less_25"
9.58160253309465,"f","black","HS","25_50"
4.41147864044017,"m","white","less_than_HS","above_75"
7.25971623487991,"m","white","HS","50_75"
9.79433842943862,"m","white","HS","25_50"
12.2932082863398,"m","white","less_than_HS","50_75"
9.86559264723523,"m","white","HS","50_75"
6.24719305988856,"m","black","less_than_HS","less_25"
13.1499478222266,"m","white","HS","50_75"
9.94334218095088,"f","white","less_than_HS","above_75"
12.6744182264981,"m","white","HS","50_75"
12.7169535729927,"m","hispanic","HS","50_75"
9.52484026982305,"m","white","less_than_HS","50_75"
10.5865193596148,"f","black","HS","less_25"
11.8179364985922,"m","white","less_than_HS","25_50"
9.30412558565027,"f","white","less_than_HS","25_50"
9.56870902479927,"m","white","college","50_75"
11.827554208276,"f","hispanic","college","above_75"
10.4491987360497,"m","black","less_than_HS","50_75"
4.48060237240843,"m","white","HS","50_75"
8.81346190021693,"f","white","college","25_50"
8.70162925628309,"m","white","HS","50_75"
11.6954190151965,"m","white","HS","less_25"
11.9678925798579,"m","black","HS","50_75"
9.43481872313069,"m","white","HS","50_75"
14.260134364351,"m","white","HS","above_75"
14.1911304297998,"m","white","college","50_75"
8.92905454468048,"m","white","HS","above_75"
10.8528061200528,"f","white","HS","50_75"
11.9150447539808,"m","white","HS","above_75"
6.20881145966,"f","white","less_than_HS","above_75"
14.7176829767672,"m","white","HS","25_50"
10.1004795499181,"f","white","HS","25_50"
13.1944468620059,"m","white","HS","above_75"
8.54944092393544,"m","white","college","above_75"
9.52458255302121,"m","white","college","50_75"
8.96366766539063,"f","white","HS","25_50"
6.03531040185159,"f","black","college","50_75"
7.9729926454475,"m","black","HS","50_75"
9.77625105233692,"m","hispanic","HS","above_75"
10.3527481557518,"m","white","college","50_75"
15.161813146512,"m","white","HS","25_50"
8.37356385805098,"f","white","HS","50_75"
11.2887711087482,"f","white","HS","above_75"
9.80147964762739,"f","black","HS","50_75"
12.3390019694235,"f","hispanic","HS","25_50"
11.3211263476982,"f","black","HS","above_75"
6.06597589219145,"m","white","HS","less_25"
6.46208405924799,"f","white","HS","50_75"
8.56533538561334,"m","white","HS","25_50"
10.9898690709297,"f","white","college","less_25"
11.9866421966585,"m","hispanic","HS","above_75"
11.0263035642774,"f","hispanic","HS","above_75"
9.99952603335293,"f","white","HS","50_75"
7.96943788630901,"m","white","HS","above_75"
14.2524693943189,"m","hispanic","college","above_75"
7.0944405244896,"f","black","less_than_HS","above_75"
10.3125051801683,"m","white","HS","50_75"
12.300828096127,"f","white","college","50_75"
14.9481392397814,"m","white","college","less_25"
10.2873588221882,"m","white","HS","50_75"
12.6635569942127,"m","white","HS","25_50"
11.0380572608457,"m","white","HS","25_50"
9.93213903761042,"f","white","HS","25_50"
8.30878954434675,"m","white","HS","25_50"
6.86679988694534,"m","white","college","above_75"
11.8709763949179,"f","hispanic","college","above_75"
10.386882104013,"f","white","less_than_HS","50_75"
6.4812584830511,"m","black","HS","50_75"
11.6436995290932,"f","white","HS","less_25"
10.5483051615657,"m","black","HS","50_75"
13.5475801652839,"f","white","HS","50_75"
8.27813621189588,"m","black","HS","25_50"
8.29219213540791,"f","black","HS","25_50"
8.68307116844996,"f","white","college","50_75"
7.25247056101173,"m","white","HS","50_75"
7.22943842869059,"m","white","HS","50_75"
4.62469437156835,"m","white","college","50_75"
16.5593329693791,"f","white","college","above_75"
10.8868838498629,"m","white","HS","50_75"
8.58779626607404,"m","black","HS","above_75"
9.1405252561745,"m","white","college","50_75"
15.0538060151653,"m","white","HS","above_75"
8.12540361938795,"f","white","HS","25_50"
10.2447483919291,"m","white","HS","50_75"
7.91642141121545,"f","white","HS","50_75"
10.2789028953457,"m","white","college","50_75"
12.238598002405,"m","white","college","50_75"
10.734912748909,"m","white","HS","50_75"
12.0069106419938,"m","black","college","50_75"
12.857608500028,"m","white","HS","50_75"
12.3218730319941,"m","white","college","50_75"
9.62222867872032,"f","white","college","50_75"
8.37517274796826,"f","hispanic","college","50_75"
