x,y,z
126.66778702376796,84.43942616869612,a
148.17946481687923,197.39326025760118,a
157.37777824606775,141.09191271438317,a
143.7597980896108,156.98553728122192,a
172.31925072267697,220.56671949911834,a
213.85404590298566,148.40072323548475,a
125.94146143373072,167.87620187843282,a
134.28195699256747,151.37209563031212,a
187.45060454377392,224.84250859507102,a
180.64355060121906,141.608197766314,a
153.78405219261418,145.43655326848113,a
182.6973752880282,203.45265985268048,a
138.18285302271545,182.9373792632362,a
162.32038862289846,231.7577252309614,a
188.53521001829378,228.07567186492338,a
162.43124264701777,241.51011319235795,a
164.00436874199835,174.7608238511384,a
203.29742401147914,200.35906179176612,a
144.55213299365624,200.39248221383326,a
152.11365711405705,237.69953025271474,a
196.71995972895868,249.46820110098318,a
167.26371039661498,250.56478183476304,a
214.155178313431,206.99683961924535,a
184.6812070391597,214.3161664870628,a
226.0107527284221,263.0205931919967,a
236.56576169625077,163.00088778529505,a
184.39846673389926,191.63091181612162,a
197.26753082748823,231.32921848965424,a
190.50793021679527,239.73150498182218,a
235.39068997863185,246.99732407924313,a
194.71710379090908,267.92119052466376,a
228.97369495991023,245.7956389472631,a
184.8986692560848,201.5776929750872,a
224.74330799095156,268.50127688995894,a
181.9700462623774,273.6649327596895,a
182.6811369705354,211.9262679112257,a
198.72204729643857,245.5428546618355,a
273.21337289900634,316.17062787075014,a
214.45742331246745,268.5868908385296,a
250.76048401531466,304.413528087395,a
217.18949416361554,272.82344685378314,a
221.55445858337302,228.31420999599453,a
208.98155073899795,271.5677142997887,a
282.6679256702329,290.54080908697784,a
248.44523853858757,215.2064177102145,a
250.90461331774978,250.62669173634876,a
249.04020714720406,319.78860464361486,a
278.8304492379399,288.2367075752662,a
296.0668464348343,331.42097993906646,a
272.2377739183285,267.186556798711,a
292.4577604682673,356.842913512559,a
264.9503279301522,317.8525352224781,a
293.8194180917163,318.4952778929271,a
327.6108641876643,351.34837689027984,a
278.03247089727955,336.13136559159227,a
321.5278255896267,318.3268582495542,a
282.60132294719386,312.76947853958177,a
353.20875617789693,342.6982302269821,a
294.6606381922143,358.28169416849835,a
314.4402664662753,339.258895276799,a
329.25367310568663,320.7202602789969,a
321.69695092573903,329.7524885644449,a
309.909478291203,337.881270095524,a
335.0953943702319,341.6471994857066,a
305.0654245982572,372.13639508865276,a
342.35122799516296,334.76200800331196,a
323.6646914961158,349.04398513951827,a
308.3880845793544,401.26518700536326,a
337.2141703650948,421.1711979847718,a
369.73338753957364,359.1494542514809,a
335.9686558362221,402.73947457248386,a
333.920425267332,387.70747274195406,a
327.587248220116,413.5021081368584,a
319.6994870856231,419.0563269174723,a
302.9448033948807,384.42658220194403,a
353.06951416814195,378.68658639524904,a
345.7462504588009,415.6853016529641,a
375.3940325422972,419.3240289758887,a
332.6670557178608,399.32249765765096,a
343.77579984513466,406.232548090515,a
324.9862072519039,472.66918969296137,a
378.40479626905005,429.60652239364106,a
351.97958661893017,389.83091399953184,a
354.8902142269462,392.17816103366806,a
416.2992361309558,443.3171736470876,a
364.21402156519247,392.95175463897465,a
425.0680240366879,394.92245781737273,a
376.8533291148289,430.0060446050008,a
420.2261180264468,425.93891044673063,a
372.8707752942038,422.8943938807888,a
389.0085864929112,413.29901250543185,a
404.2723658272853,424.2248933732199,a
381.61982210977544,385.97146516896925,a
382.0490619949162,404.55081371343675,a
400.0203836524988,382.82705335591214,a
403.9850709228524,421.4113758082423,a
362.97384298749154,438.46918522925614,a
361.43687815393685,444.02438210392813,a
332.99895324489864,408.7952465253674,a
351.200223855118,481.4375024397018,a
320.43420173047576,392.4033665954147,a
314.0248817625083,397.00013427056575,a
302.47021449271256,369.6448677999221,a
295.56918194595465,365.57009051052125,a
287.6837897639363,358.23940176451606,a
246.89491960302823,398.45751977332736,a
186.29847128402199,347.478222092351,a
228.18336058696428,349.0955546766604,a
140.45552300003254,336.7658281444369,a
190.4128026155588,281.3501259685437,a
185.78138251053983,317.91223884155164,a
192.19801614313258,279.480077890557,a
211.7396582859798,324.1033110507245,a
223.81134623947906,307.0297588438759,a
171.4433112947971,338.61519733226555,a
227.508472076668,330.2535353150337,a
205.28704355174227,299.34426131079545,a
190.69390511310084,349.1685907356407,a
197.55515224674895,355.75445858003843,a
